Date;counter;BTC;BTC1;ETH;ETH1;BNB;BNB1;XRP;XRP1;SOL;SOL1;LUNA;LUNA1;DOT;DOT1;SPY;SPY1;IPO;IPO1;GLD;GLD1;DBTC;DETH;DBNB;DXRP;DSOL;DLUNA;DDOT;DSPY;DIPO;DGLD
2020-04-27;579;7795.6;0.513879276;197.22;0.171715149;16.46;0.901423877;0.2;0.081300813;0.57;0.730769231;0.2;0.15503876;0;0;287.05;1.047933703;30.67;1.079169599;161.56;1.289282579;0.032406755;0.042210459;0.027896188;0.022270415;-0.097549516;0.014911697;0;0.014418444;0.018598438;-0.006640439
2020-04-28;580;7807.06;0.514634709;198.42;0.172759963;16.44;0.900328587;0.22;0.089430894;0.66;0.846153846;0.2;0.15503876;0;0;285.73;1.043114778;30.4;1.069669247;160.84;1.283536829;0.001469742;0.006037144;-0.001149775;0.088423966;0.155355258;0.001644281;0;-0.004598422;-0.008803391;-0.004456561
2020-04-29;581;8801.04;0.580157019;216.97;0.188911043;17.49;0.957831325;0.23;0.093495935;0.75;0.961538462;0.2;0.15503876;0;0;293.21;1.070422021;31.37;1.103800141;161.73;1.290639215;0.127318052;0.09350505;0.063820831;0.055447272;0.127851043;0.029427612;0;0.026178489;0.031907928;0.00553345
2020-04-30;582;8658.55;0.570764201;207.6;0.180752788;17.03;0.93263965;0.21;0.085365854;0.69;0.884615385;0.19;0.147286822;0;0;290.48;1.060455607;30.86;1.085855032;158.8;1.267257202;-0.016189496;-0.04316844;-0.026283522;-0.064507193;-0.0734675;-0.064079674;0;-0.009310665;-0.01625757;-0.018116571
2020-05-01;583;8864.77;0.584358046;214.22;0.186516678;17.56;0.961664841;0.22;0.089430894;0.73;0.935897436;0.19;0.147286822;0;0;282.79;1.032381717;29.89;1.051724138;159.78;1.275077807;0.02381609;0.031873722;0.03117399;0.03048961;0.054625965;0.003423351;0;-0.026473429;-0.031432339;0.006171259
2020-05-04;584;8912.65;0.587514255;208.17;0.181249075;17.1;0.936473165;0.22;0.089430894;0.67;0.858974359;0.19;0.147286822;0;0;283.57;1.035229264;30.23;1.063687544;160.34;1.279546724;0.005402025;-0.028219192;-0.026429672;-0.001299898;-0.084115676;-0.000640665;0;0.002758223;0.011375076;0.0035048
2020-05-05;585;9003.07;0.593474664;206.77;0.180030125;16.92;0.926615553;0.22;0.089430894;0.64;0.820512821;0.19;0.147286822;0;0;286.19;1.0447941;30.59;1.07635468;161.02;1.284973266;0.010144679;-0.006723279;-0.010583216;-0.011417454;-0.038433477;-0.010820108;0;0.009239323;0.0119087;0.004241038
2020-05-06;586;9268.76;0.610988721;204.06;0.177670588;16.66;0.91237678;0.22;0.089430894;0.62;0.794871795;0.22;0.170542636;0;0;284.25;1.037711741;31.07;1.093244194;158.95;1.268454234;0.0295112;-0.013147725;-0.015527984;-0.005788518;-0.029996713;0.135792907;0;-0.00677872;0.015691402;-0.012855589
2020-05-07;587;9951.52;0.655995676;212.29;0.184836269;17.01;0.931544359;0.22;0.089430894;0.61;0.782051282;0.19;0.147286822;0;0;287.68;1.050233645;32.36;1.138634764;161.39;1.287925944;0.073662141;0.040349883;0.021381584;0.017225036;-0.015429243;-0.095944999;0;0.012066818;0.041519182;0.015350752
2020-05-08;588;9842.67;0.648820377;212.99;0.185445744;17.24;0.944140197;0.22;0.089430894;0.6;0.769230769;0.19;0.147286822;0;0;292.44;1.067610981;33.23;1.169247009;160.42;1.280185141;-0.010938284;0.003307579;0.013417641;0.004156827;-0.013142397;-0.005033893;0;0.016546194;0.026885012;-0.006010292
2020-05-11;589;8601.8;0.567023289;185.91;0.161867779;15.1;0.82694414;0.19;0.077235772;0.52;0.666666667;0.18;0.139534884;0;0;292.5;1.067830023;33.9;1.192821956;159.42;1.272204932;-0.12607053;-0.127135239;-0.124347301;-0.117196705;-0.148199272;-0.075704752;0;0.000205163;0.020162564;-0.006233637
2020-05-12;590;8804.48;0.580383781;189.31;0.164828085;15.74;0.861993428;0.2;0.081300813;0.54;0.692307692;0.19;0.147286822;0;0;286.67;1.046546437;33.28;1.171006334;160.04;1.277152661;0.023562712;0.0182863;0.04262342;0.018411452;0.04522457;0.034879114;0;-0.019931579;-0.018289173;0.003889067
2020-05-13;591;9269.99;0.611069802;199.19;0.173430385;16.14;0.883899233;0.2;0.081300813;0.55;0.705128205;0.19;0.147286822;0;0;281.6;1.028037383;32.97;1.160098522;161.58;1.289442183;0.052871935;0.052192977;0.025273022;0.01944474;0.022199281;0.019243004;0;-0.017685864;-0.009314844;0.009622651
2020-05-14;592;9733.72;0.641638486;202.95;0.176704135;16.36;0.895947426;0.2;0.081300813;0.57;0.730769231;0.19;0.147286822;0;0;284.97;1.040340245;33.24;1.169598874;163.01;1.300853882;0.050025352;0.018855124;0.013564884;0.008184435;0.033760072;-0.00794545;0;0.011967312;0.008189293;0.008850062
2020-05-15;593;9328.2;0.614906955;195.62;0.170322064;15.75;0.862541073;0.2;0.081300813;0.56;0.717948718;0.18;0.139534884;0;0;286.28;1.045122664;33.83;1.190358902;163.93;1.308195675;-0.041661805;-0.03609985;-0.03688919;-0.02076513;-0.016457044;-0.01968145;0;0.004596968;0.017749698;0.005643813
